指标名称,别名,模块,子模块,来源类型,报表类型,提取器,适用范围,所在位置,适用行业,适用子类型,适用公司,排除公司,akshare_statement,akshare_field,report_selectors,schema_hint,computed_formula,computed_inputs,单位,周期类型,方向,备注,csv_annotated,csv_source
归属于母公司普通股股东的每股股东权益,Equity per Share Attributable to Ordinary Shareholders,report_section,财务报表附注,report,年报/半年报/季报,llm,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,元,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
少数股东权益,Minority Interest,balance_sheet,资产负债表 — 三、所有者权益,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 三、所有者权益),,True
流动性比例（外币）,Liquidity Ratio (Foreign Currency),report_section,风险管理 — 流动性风险,report,年报/半年报/季报,python:percent_value,universal[*],风险管理 — 流动性风险,*,*,*,,,,风险管理 — 流动性风险,,,,%,annual,none,sourced from indicators_position.csv (section: 风险管理 — 流动性风险),,True
流动性比例（折人民币）,Liquidity Ratio (in RMB equivalent),report_section,风险管理 — 流动性风险,report,年报/半年报/季报,python:percent_value,universal[*],风险管理 — 流动性风险,*,*,*,,,,风险管理 — 流动性风险,,,,%,annual,none,sourced from indicators_position.csv (section: 风险管理 — 流动性风险),,True
正常类贷款,Performing Loans,report_section,风险管理 — 信用风险 — 贷款质量,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,*,*,*,,,,风险管理 — 信用风险 — 贷款质量,,,,元,annual,none,sourced from indicators_position.csv (section: 风险管理 — 信用风险 — 贷款质量),,True
关注类贷款,Special Mention Loans,report_section,风险管理 — 信用风险 — 贷款质量,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,*,*,*,,,,风险管理 — 信用风险 — 贷款质量,,,,元,annual,none,sourced from indicators_position.csv (section: 风险管理 — 信用风险 — 贷款质量),,True
次级类贷款,Substandard Loans,report_section,风险管理 — 信用风险 — 贷款质量,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,*,*,*,,,,风险管理 — 信用风险 — 贷款质量,,,,元,annual,none,sourced from indicators_position.csv (section: 风险管理 — 信用风险 — 贷款质量),,True
可疑类贷款,Doubtful Loans,report_section,风险管理 — 信用风险 — 贷款质量,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,*,*,*,,,,风险管理 — 信用风险 — 贷款质量,,,,元,annual,none,sourced from indicators_position.csv (section: 风险管理 — 信用风险 — 贷款质量),,True
损失类贷款,Loss Loans,report_section,风险管理 — 信用风险 — 贷款质量,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,*,*,*,,,,风险管理 — 信用风险 — 贷款质量,,,,元,annual,none,sourced from indicators_position.csv (section: 风险管理 — 信用风险 — 贷款质量),,True
逾期贷款,Overdue Loans,report_section,风险管理 — 信用风险 — 贷款质量,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,*,*,*,,,,风险管理 — 信用风险 — 贷款质量,,,,元,annual,none,sourced from indicators_position.csv (section: 风险管理 — 信用风险 — 贷款质量),,True
逾期90天贷款,Overdue 90 Days Loans,report_section,风险管理 — 信用风险 — 贷款质量,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,*,*,*,,,,风险管理 — 信用风险 — 贷款质量,,,,元,annual,none,sourced from indicators_position.csv (section: 风险管理 — 信用风险 — 贷款质量),,True
重组贷款,Restructured Loans,report_section,风险管理 — 信用风险 — 贷款质量,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,*,*,*,,,,风险管理 — 信用风险 — 贷款质量,,,,元,annual,none,sourced from indicators_position.csv (section: 风险管理 — 信用风险 — 贷款质量),,True
逾期90天的重组贷款,Restructured Loans Overdue 90 Days,report_section,风险管理 — 信用风险 — 贷款质量,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,*,*,*,,,,风险管理 — 信用风险 — 贷款质量,,,,元,annual,none,sourced from indicators_position.csv (section: 风险管理 — 信用风险 — 贷款质量),,True
贷款损失准备,Loan Loss Provisions,report_section,风险管理 — 信用风险 — 贷款质量,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,*,*,*,,,,风险管理 — 信用风险 — 贷款质量,,,,元,annual,none,sourced from indicators_position.csv (section: 风险管理 — 信用风险 — 贷款质量),,True
不良贷款拨备覆盖率,NPL Provision Coverage Ratio,report_section,风险管理 — 信用风险 — 贷款质量,report,年报/半年报/季报,python:percent_value,universal[*],风险管理 — 信用风险 — 贷款质量,*,*,*,,,,风险管理 — 信用风险 — 贷款质量,,,,%,annual,none,sourced from indicators_position.csv (section: 风险管理 — 信用风险 — 贷款质量),,True
逾期90天贷款率,Overdue 90 Days Loan Ratio,report_section,风险管理 — 信用风险 — 贷款质量,report,年报/半年报/季报,python:percent_value,universal[*],风险管理 — 信用风险 — 贷款质量,*,*,*,,,,风险管理 — 信用风险 — 贷款质量,,,,%,annual,none,sourced from indicators_position.csv (section: 风险管理 — 信用风险 — 贷款质量),,True
博士人数,Number of PhD Holders,report_section,人力资源管理 — 员工情况,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况,*,*,*,,,,人力资源管理 — 员工情况,,,,人,annual,none,sourced from indicators_position.csv (section: 人力资源管理 — 员工情况),,True
硕士人数,Number of Master's Holders,report_section,人力资源管理 — 员工情况,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况,*,*,*,,,,人力资源管理 — 员工情况,,,,人,annual,none,sourced from indicators_position.csv (section: 人力资源管理 — 员工情况),,True
学士人数,Number of Bachelor's Holders,report_section,人力资源管理 — 员工情况,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况,*,*,*,,,,人力资源管理 — 员工情况,,,,人,annual,none,sourced from indicators_position.csv (section: 人力资源管理 — 员工情况),,True
大专人数,Number of Associate Degree Holders,report_section,人力资源管理 — 员工情况,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况,*,*,*,,,,人力资源管理 — 员工情况,,,,人,annual,none,sourced from indicators_position.csv (section: 人力资源管理 — 员工情况),,True
高中及以下人数,Number of High School and Below,report_section,人力资源管理 — 员工情况,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况,*,*,*,,,,人力资源管理 — 员工情况,,,,人,annual,none,sourced from indicators_position.csv (section: 人力资源管理 — 员工情况),,True
生产人员人数,Number of Production Personnel,report_section,人力资源管理 — 员工情况（按职能）,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况（按职能）,*,*,*,,,,人力资源管理 — 员工情况（按职能）,,,,人,annual,none,sourced from indicators_position.csv (section: 人力资源管理 — 员工情况（按职能）),,True
销售人员人数,Number of Sales Personnel,report_section,人力资源管理 — 员工情况（按职能）,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况（按职能）,*,*,*,,,,人力资源管理 — 员工情况（按职能）,,,,人,annual,none,sourced from indicators_position.csv (section: 人力资源管理 — 员工情况（按职能）),,True
技术人员人数,Number of Technical Personnel,report_section,人力资源管理 — 员工情况（按职能）,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况（按职能）,*,*,*,,,,人力资源管理 — 员工情况（按职能）,,,,人,annual,none,sourced from indicators_position.csv (section: 人力资源管理 — 员工情况（按职能）),,True
财务人员人数,Number of Finance Personnel,report_section,人力资源管理 — 员工情况（按职能）,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况（按职能）,*,*,*,,,,人力资源管理 — 员工情况（按职能）,,,,人,annual,none,sourced from indicators_position.csv (section: 人力资源管理 — 员工情况（按职能）),,True
行政人员人数,Number of Administrative Personnel,report_section,人力资源管理 — 员工情况（按职能）,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况（按职能）,*,*,*,,,,人力资源管理 — 员工情况（按职能）,,,,人,annual,none,sourced from indicators_position.csv (section: 人力资源管理 — 员工情况（按职能）),,True
其他人员人数,Number of Other Personnel,report_section,人力资源管理 — 员工情况（按职能）,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况（按职能）,*,*,*,,,,人力资源管理 — 员工情况（按职能）,,,,人,annual,none,sourced from indicators_position.csv (section: 人力资源管理 — 员工情况（按职能）),,True
市值,Market Capitalization,market_data,市场数据（外部）,external,实时,,universal[*],realtime/market,*,*,*,,,,,,,,,realtime,none,sourced from indicators_position.csv (section: 市场数据（外部）),,True
总股数,Total Number of Shares,report_section,股本变动 — 股东情况,report,年报/半年报/季报,llm,universal[*],股本变动 — 股东情况,*,*,*,,,,股本变动 — 股东情况,,,,股,annual,none,sourced from indicators_position.csv (section: 股本变动 — 股东情况),,True
流通股数,Number of Free-float Shares,report_section,股本变动 — 股东情况,report,年报/半年报/季报,llm,universal[*],股本变动 — 股东情况,*,*,*,,,,股本变动 — 股东情况,,,,股,annual,none,sourced from indicators_position.csv (section: 股本变动 — 股东情况),,True
总股东人数（季度）,Total Number of Shareholders (Quarterly),report_section,股东情况,report,年报/半年报/季报,python:headcount,universal[*],股东情况,*,*,*,,,,股东情况,,,,人,annual,none,sourced from indicators_position.csv (section: 股东情况),,True
A股股东人数（季度）,Number of A-Share Holders (Quarterly),report_section,股东情况,report,年报/半年报/季报,python:headcount,universal[*],股东情况,*,*,*,,,,股东情况,,,,人,annual,none,sourced from indicators_position.csv (section: 股东情况),,True
第一大股东持仓占总股本比例,Top 1 Shareholder Ownership,report_section,股东情况 — 主要股东,report,年报/半年报/季报,python:percent_value,universal[*],股东情况 — 主要股东,*,*,*,,,,股东情况 — 主要股东,,,,%,annual,none,sourced from indicators_position.csv (section: 股东情况 — 主要股东),,True
前十大流通股东持仓占流通股本比例,Top 10 Free-float Shareholders Ownership,report_section,股东情况 — 主要股东,report,年报/半年报/季报,python:percent_value,universal[*],股东情况 — 主要股东,*,*,*,,,,股东情况 — 主要股东,,,,%,annual,none,sourced from indicators_position.csv (section: 股东情况 — 主要股东),,True
进公募基金前十大持仓占流通股本比例,Top 10 Mutual Fund Holdings,market_data,基金持仓（外部）,external,季报/半年报,,universal[*],realtime/market,*,*,*,,,,,,,,,annual,none,sourced from indicators_position.csv (section: 基金持仓（外部）),,True
公募基金持仓占流通股本比例,Mutual Fund Ownership Ratio,market_data,基金持仓（外部）,external,季报/半年报,,universal[*],realtime/market,*,*,*,,,,,,,,,annual,none,sourced from indicators_position.csv (section: 基金持仓（外部）),,True
公募基金+自由流通股东持仓占自由流通股本比例,Mutual Fund + Free-float Ownership,market_data,基金持仓（外部）,external,季报/半年报,,universal[*],realtime/market,*,*,*,,,,,,,,,annual,none,sourced from indicators_position.csv (section: 基金持仓（外部）),,True
PE-TTM,PE-TTM Ratio,market_data,市场数据（外部）,external,实时,,universal[*],realtime/market,*,*,*,,,,,,,,,realtime,none,sourced from indicators_position.csv (section: 市场数据（外部）),,True
PE-TTM（扣非）,PE-TTM (Excluding Non-recurring Items),market_data,市场数据（外部）,external,实时,,universal[*],realtime/market,*,*,*,,,,,,,,,realtime,none,sourced from indicators_position.csv (section: 市场数据（外部）),,True
PB,PB Ratio,market_data,市场数据（外部）,external,实时,,universal[*],realtime/market,*,*,*,,,,,,,,,realtime,none,sourced from indicators_position.csv (section: 市场数据（外部）),,True
PB（不含商誉）,PB Ratio (Excluding Goodwill),market_data,市场数据（外部）,external,实时,,universal[*],realtime/market,*,*,*,,,,,,,,,realtime,none,sourced from indicators_position.csv (section: 市场数据（外部）),,True
PS-TTM,PS-TTM Ratio,market_data,市场数据（外部）,external,实时,,universal[*],realtime/market,*,*,*,,,,,,,,,realtime,none,sourced from indicators_position.csv (section: 市场数据（外部）),,True
PCF-TTM,PCF-TTM Ratio,market_data,市场数据（外部）,external,实时,,universal[*],realtime/market,*,*,*,,,,,,,,,realtime,none,sourced from indicators_position.csv (section: 市场数据（外部）),,True
股息率,Dividend Yield,market_data,市场数据（外部）,external,实时,,universal[*],realtime/market,*,*,*,,,,,,,,,realtime,none,sourced from indicators_position.csv (section: 市场数据（外部）),,True
利息收入,Interest Income,income_statement,利润表 — 一、营业收入,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 利润表 — 一、营业收入),,True
利息支出,Interest Expense,income_statement,利润表 — 一、营业收入,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 利润表 — 一、营业收入),,True
净息收入占比,Net Interest Income Ratio,report_section,财务报表附注,report,年报/半年报/季报,python:percent_value,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,%,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
非息收入,Non-interest Income,income_statement,利润表 — 一、营业收入,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 利润表 — 一、营业收入),,True
非息收入占比,Non-interest Income Ratio,report_section,财务报表附注,report,年报/半年报/季报,python:percent_value,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,%,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
手续费及佣金收入,Fee and Commission Income,income_statement,利润表 — 一、营业收入,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 利润表 — 一、营业收入),,True
手续费及佣金支出,Fee and Commission Expense,income_statement,利润表 — 一、营业收入,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 利润表 — 一、营业收入),,True
公允价值变动收益,Changes in Fair Value,income_statement,利润表 — 一、营业收入,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 利润表 — 一、营业收入),,True
投资收益,Investment Income,income_statement,利润表 — 一、营业收入,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 利润表 — 一、营业收入),,True
对联营企业及合营企业的投资收益,Income from Associates and Joint Ventures,income_statement,利润表 — 一、营业收入,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 利润表 — 一、营业收入),,True
汇兑收益,Exchange Gains,income_statement,利润表 — 一、营业收入,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 利润表 — 一、营业收入),,True
其他业务收入,Other Operating Revenue,income_statement,利润表 — 一、营业收入,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 利润表 — 一、营业收入),,True
营业支出,Operating Expenses,income_statement,利润表 — 二、营业支出,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 利润表 — 二、营业支出),,True
税金及附加,Taxes and Surcharges,income_statement,利润表 — 二、营业支出,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 利润表 — 二、营业支出),,True
业务及管理费用,Operating and Administrative Expenses,income_statement,利润表 — 二、营业支出,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 利润表 — 二、营业支出),,True
其他业务成本,Other Operating Costs,income_statement,利润表 — 二、营业支出,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 利润表 — 二、营业支出),,True
收入成本比,Cost-to-Income Ratio,report_section,财务报表附注,report,年报/半年报/季报,llm,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,元,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
信用减值损失,Credit Impairment Loss,income_statement,利润表 — 二、营业支出,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 利润表 — 二、营业支出),,True
资产减值损失,Asset Impairment Loss,income_statement,利润表 — 二、营业支出,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 利润表 — 二、营业支出),,True
其他资产减值损失,Other Asset Impairment Loss,income_statement,利润表 — 二、营业支出,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 利润表 — 二、营业支出),,True
加：营业外收入,Add: Non-operating Income,income_statement,利润表 — 三、营业利润,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 利润表 — 三、营业利润),,True
减：营业外支出,Less: Non-operating Expenses,income_statement,利润表 — 三、营业利润,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 利润表 — 三、营业利润),,True
减：所得税费用,Less: Income Tax Expense,income_statement,利润表 — 四、利润总额,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 利润表 — 四、利润总额),,True
有效税率,Effective Tax Rate,report_section,财务报表附注,report,年报/半年报/季报,python:percent_value,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,%,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
（一）持续经营净利润,Net Profit from Continuing Operations,income_statement,利润表 — 五、净利润,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 利润表 — 五、净利润),,True
（二）终止经营净利润,Net Profit from Discontinued Operations,income_statement,利润表 — 五、净利润,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 利润表 — 五、净利润),,True
归属于母公司股东及其他权益持有者的净利润,Net Profit Attributable to Parent Equity Holders,income_statement,利润表 — 五、净利润,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 利润表 — 五、净利润),,True
归属于母公司普通股股东的净利润,Net Profit Attributable to Ordinary Shareholders,income_statement,利润表 — 五、净利润,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 利润表 — 五、净利润),,True
少数股东损益,Minority Interest Profit,income_statement,利润表 — 五、净利润,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 利润表 — 五、净利润),,True
归属于母公司普通股股东的扣除非经常性损益的净利润,Recurring Net Profit Attributable to Ordinary Shareholders,report_section,财务报表附注,report,年报/半年报/季报,llm,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,元,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
扣非净利润占比,Recurring Net Profit Ratio,report_section,财务报表附注,report,年报/半年报/季报,python:percent_value,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,%,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
归属于母公司普通股股东的加权ROE,Weighted ROE Attributable to Ordinary Shareholders,report_section,财务报表附注,report,年报/半年报/季报,llm,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,元,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
归属于母公司普通股股东的扣非加权ROE,Recurring Weighted ROE Attributable to Ordinary Shareholders,report_section,财务报表附注,report,年报/半年报/季报,llm,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,元,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
稀释每股收益,Diluted EPS,income_statement,利润表 — 六、每股收益,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,股,annual,none,sourced from indicators_position.csv (section: 利润表 — 六、每股收益),,True
综合收益总额,Total Comprehensive Income,income_statement,综合收益表,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 综合收益表),,True
归属于母公司股东及其他权益持有者的综合收益总额,Comprehensive Income Attributable to Parent,income_statement,综合收益表,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 综合收益表),,True
归属于母公司普通股股东的综合收益总额,Comprehensive Income Attributable to Ordinary Shareholders,income_statement,综合收益表,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 综合收益表),,True
归属于少数股东的综合收益总额,Comprehensive Income Attributable to Minority Interest,income_statement,综合收益表,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 综合收益表),,True
其他综合收益的税后净额,Other Comprehensive Income Net of Tax,income_statement,综合收益表,report,年报/半年报/季报,python:table_row,universal[*],利润表,*,*,*,,,,利润表,,,,元,annual,none,sourced from indicators_position.csv (section: 综合收益表),,True
境内营业成本,Domestic Operating Costs,report_section,分部信息 — 分地区,report,年报/半年报,llm,universal[*],分部信息 — 分地区,*,*,*,,,,分部信息 — 分地区,,,,元,annual,none,sourced from indicators_position.csv (section: 分部信息 — 分地区),,True
境内毛利率,Domestic Gross Margin,report_section,分部信息 — 分地区,report,年报/半年报,python:percent_value,universal[*],分部信息 — 分地区,*,*,*,,,,分部信息 — 分地区,,,,%,annual,none,sourced from indicators_position.csv (section: 分部信息 — 分地区),,True
境内收入占比,Domestic Revenue Ratio,report_section,分部信息 — 分地区,report,年报/半年报,python:percent_value,universal[*],分部信息 — 分地区,*,*,*,,,,分部信息 — 分地区,,,,%,annual,none,sourced from indicators_position.csv (section: 分部信息 — 分地区),,True
境外营业成本,Overseas Operating Costs,report_section,分部信息 — 分地区,report,年报/半年报,llm,universal[*],分部信息 — 分地区,*,*,*,,,,分部信息 — 分地区,,,,元,annual,none,sourced from indicators_position.csv (section: 分部信息 — 分地区),,True
境外毛利率,Overseas Gross Margin,report_section,分部信息 — 分地区,report,年报/半年报,python:percent_value,universal[*],分部信息 — 分地区,*,*,*,,,,分部信息 — 分地区,,,,%,annual,none,sourced from indicators_position.csv (section: 分部信息 — 分地区),,True
境外收入占比,Overseas Revenue Ratio,report_section,分部信息 — 分地区,report,年报/半年报,python:percent_value,universal[*],分部信息 — 分地区,*,*,*,,,,分部信息 — 分地区,,,,%,annual,none,sourced from indicators_position.csv (section: 分部信息 — 分地区),,True
分红率,Dividend Payout Ratio,report_section,重要事项 — 利润分配,report,年报,python:percent_value,universal[*],重要事项 — 利润分配,*,*,*,,,,重要事项 — 利润分配,,,,%,annual,none,sourced from indicators_position.csv (section: 重要事项 — 利润分配),,True
A股分红金额,A-Share Dividend Amount,report_section,重要事项 — 利润分配,report,年报,llm,universal[*],重要事项 — 利润分配,*,*,*,,,,重要事项 — 利润分配,,,,股,annual,none,sourced from indicators_position.csv (section: 重要事项 — 利润分配),,True
A股融资金额,A-Share Financing Amount,report_section,融资情况,report,年报,llm,universal[*],融资情况,*,*,*,,,,融资情况,,,,股,annual,none,sourced from indicators_position.csv (section: 融资情况),,True
年度涨跌幅,Annual Price Change,market_data,市场数据（外部）,external,年报,,universal[*],realtime/market,*,*,*,,,,,,,,,annual,none,sourced from indicators_position.csv (section: 市场数据（外部）),,True
前五大客户收入占比,Top 5 Customers Revenue Ratio,report_section,客户情况,report,年报,python:percent_value,universal[*],客户情况,*,*,*,,,,客户情况,,,,%,annual,none,sourced from indicators_position.csv (section: 客户情况),,True
前五大供应商采购占比,Top 5 Suppliers Purchase Ratio,report_section,供应商情况,report,年报,python:percent_value,universal[*],供应商情况,*,*,*,,,,供应商情况,,,,%,annual,none,sourced from indicators_position.csv (section: 供应商情况),,True
发放贷款及垫款的净减少额,Net Decrease in Loans and Advances,cashflow,现金流量表 — 经营活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 经营活动),,True
向中央银行借款净增加额,Net Increase in Borrowings from Central Bank,cashflow,现金流量表 — 经营活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 经营活动),,True
客户存款和同业及其他金融机构存放款项净增加额,Net Increase in Customer Deposits and Due to Banks,cashflow,现金流量表 — 经营活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 经营活动),,True
客户存款净增加额,Net Increase in Customer Deposits,cashflow,现金流量表 — 经营活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 经营活动),,True
同业及其他金融机构存放款项净增加额,Net Increase in Due to Other Banks,cashflow,现金流量表 — 经营活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 经营活动),,True
存放中央银行和同业及其他金融机构款项净减少额,Net Decrease in Reserves and Due from Banks,cashflow,现金流量表 — 经营活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 经营活动),,True
存放中央银行款项净减少额,Net Decrease in Reserves with Central Bank,cashflow,现金流量表 — 经营活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 经营活动),,True
存放同业及其他金融机构款项净减少额,Net Decrease in Due from Banks,cashflow,现金流量表 — 经营活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 经营活动),,True
拆入资金及卖出回购金融资产净增加额,Net Increase in Borrowings and Repo,cashflow,现金流量表 — 经营活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 经营活动),,True
拆入资金净增加额,Net Increase in Borrowings from Banks,cashflow,现金流量表 — 经营活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 经营活动),,True
卖出回购业务资金净增加额,Net Increase in Repo,cashflow,现金流量表 — 经营活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 经营活动),,True
拆出资金及买入返售金融资产净减少额,Net Decrease in Loans to Banks and Reverse Repo,cashflow,现金流量表 — 经营活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 经营活动),,True
拆出资金净减少额,Net Decrease in Loans to Banks,cashflow,现金流量表 — 经营活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 经营活动),,True
