indicator,indicator_cn,section_en,section_cn,report_type
处置子公司或其他营业单位收到的现金净额,Net Cash from Disposal of Subsidiaries,Cash Flow Statement - Investing Activities,现金流量表 — 投资活动,年报/半年报/季报
处置合营或联营公司所收到的现金,Cash Received from Disposal of Associates,Cash Flow Statement - Investing Activities,现金流量表 — 投资活动,年报/半年报/季报
收到的其他与投资活动相关的现金,Other Cash Receipts from Investing Activities,Cash Flow Statement - Investing Activities,现金流量表 — 投资活动,年报/半年报/季报
投资活动现金流入小计,Total Investing Cash Inflows,Cash Flow Statement - Investing Activities,现金流量表 — 投资活动,年报/半年报/季报
投资所支付的现金,Cash Paid for Investments,Cash Flow Statement - Investing Activities,现金流量表 — 投资活动,年报/半年报/季报
购建固定资产、无形资产及其他长期资产所支付的现金,Cash Paid for Purchase of Long-term Assets,Cash Flow Statement - Investing Activities,现金流量表 — 投资活动,年报/半年报/季报
取得子公司、合营联营企业及其他营业单位支付的现金净额,Net Cash for Acquisition of Subsidiaries and Associates,Cash Flow Statement - Investing Activities,现金流量表 — 投资活动,年报/半年报/季报
取得子公司及其营业单位支付的现金净额,Net Cash for Acquisition of Subsidiaries,Cash Flow Statement - Investing Activities,现金流量表 — 投资活动,年报/半年报/季报
取得联营及合营公司支付的现金净额,Net Cash for Acquisition of Associates,Cash Flow Statement - Investing Activities,现金流量表 — 投资活动,年报/半年报/季报
支付的其他与投资活动有关的现金,Other Cash Payments for Investing Activities,Cash Flow Statement - Investing Activities,现金流量表 — 投资活动,年报/半年报/季报
投资活动现金流出小计,Total Investing Cash Outflows,Cash Flow Statement - Investing Activities,现金流量表 — 投资活动,年报/半年报/季报
投资活动产生的现金流量净额,Net Cash from Investing Activities,Cash Flow Statement - Investing Activities,现金流量表 — 投资活动,年报/半年报/季报
吸收投资收到的现金,Cash Received from Capital Contributions,Cash Flow Statement - Financing Activities,现金流量表 — 筹资活动,年报/半年报/季报
子公司吸收少数股东投资收到的现金,Cash Received from Minority Shareholders,Cash Flow Statement - Financing Activities,现金流量表 — 筹资活动,年报/半年报/季报
资产证券化收到的现金,Cash Received from Asset Securitization,Cash Flow Statement - Financing Activities,现金流量表 — 筹资活动,年报/半年报/季报
发行存款证收到的现金,Cash Received from Issuance of Certificates of Deposit,Cash Flow Statement - Financing Activities,现金流量表 — 筹资活动,年报/半年报/季报
发行债券收到的现金,Cash Received from Issuance of Bonds,Cash Flow Statement - Financing Activities,现金流量表 — 筹资活动,年报/半年报/季报
发行同业存单收到的现金,Cash Received from Issuance of Negotiable CDs,Cash Flow Statement - Financing Activities,现金流量表 — 筹资活动,年报/半年报/季报
发行永续债收到的现金,Cash Received from Issuance of Perpetual Bonds,Cash Flow Statement - Financing Activities,现金流量表 — 筹资活动,年报/半年报/季报
上市募集资金总额,Total IPO Proceeds,Cash Flow Statement - Financing Activities,现金流量表 — 筹资活动,年报
收到的其他与筹资活动有关的现金,Other Cash Receipts from Financing Activities,Cash Flow Statement - Financing Activities,现金流量表 — 筹资活动,年报/半年报/季报
筹资活动产生的现金流入小计,Total Financing Cash Inflows,Cash Flow Statement - Financing Activities,现金流量表 — 筹资活动,年报/半年报/季报
偿还已发行存款证支付的现金,Cash Paid for Redemption of CDs,Cash Flow Statement - Financing Activities,现金流量表 — 筹资活动,年报/半年报/季报
偿付债务支付的现金,Cash Paid for Debt Repayment,Cash Flow Statement - Financing Activities,现金流量表 — 筹资活动,年报/半年报/季报
偿还已发行同业存单支付的现金,Cash Paid for Redemption of Negotiable CDs,Cash Flow Statement - Financing Activities,现金流量表 — 筹资活动,年报/半年报/季报
偿还债券利息支付的现金,Cash Paid for Bond Interest,Cash Flow Statement - Financing Activities,现金流量表 — 筹资活动,年报/半年报/季报
分配股利、利润或偿付利息所支付的现金,Cash Paid for Dividends and Interest,Cash Flow Statement - Financing Activities,现金流量表 — 筹资活动,年报/半年报/季报
子公司支付少数股东股利及利润,Dividends Paid to Minority Shareholders,Cash Flow Statement - Financing Activities,现金流量表 — 筹资活动,年报/半年报/季报
赎回非控制性权益支付的现金,Cash Paid for Redemption of Non-controlling Interests,Cash Flow Statement - Financing Activities,现金流量表 — 筹资活动,年报/半年报/季报
支付新股发行费用,Cash Paid for Share Issuance Expenses,Cash Flow Statement - Financing Activities,现金流量表 — 筹资活动,年报
支付的其他与筹资活动有关的现金,Other Cash Payments for Financing Activities,Cash Flow Statement - Financing Activities,现金流量表 — 筹资活动,年报/半年报/季报
筹资活动产生的现金流出小计,Total Financing Cash Outflows,Cash Flow Statement - Financing Activities,现金流量表 — 筹资活动,年报/半年报/季报
筹资活动产生的现金流量净额,Net Cash from Financing Activities,Cash Flow Statement - Financing Activities,现金流量表 — 筹资活动,年报/半年报/季报
汇率变动对现金及现金等价物的影响,Effect of Exchange Rate Changes on Cash,Cash Flow Statement - Net Increase,现金流量表 — 现金及现金等价物净增加额,年报/半年报/季报
期初现金及现金等价物的余额,Beginning Cash and Cash Equivalents Balance,Cash Flow Statement - Net Increase,现金流量表 — 现金及现金等价物净增加额,年报/半年报/季报
现金及现金等价物的净增加额,Net Increase in Cash and Cash Equivalents,Cash Flow Statement - Net Increase,现金流量表 — 现金及现金等价物净增加额,年报/半年报/季报
期末现金及现金等价物净余额,Ending Cash and Cash Equivalents Balance,Cash Flow Statement - Net Increase,现金流量表 — 现金及现金等价物净增加额,年报/半年报/季报
净利润,Net Profit (Supplemental),Cash Flow Statement - Supplemental Notes,现金流量表 — 附注,年报/半年报/季报
加：资产减值准备,Add: Asset Impairment Provisions,Cash Flow Statement - Supplemental Notes,现金流量表 — 附注,年报/半年报/季报
信用减值损失,Credit Impairment Loss,Cash Flow Statement - Supplemental Notes,现金流量表 — 附注,年报/半年报/季报
固定资产折旧、油气资产折耗、生产性生物资产折旧,Depreciation of Fixed Assets,Cash Flow Statement - Supplemental Notes,现金流量表 — 附注,年报/半年报/季报
投资性房地产的折旧及摊销,Depreciation and Amortization of Investment Properties,Cash Flow Statement - Supplemental Notes,现金流量表 — 附注,年报/半年报/季报
使用权资产摊销,Amortization of Right-of-Use Assets,Cash Flow Statement - Supplemental Notes,现金流量表 — 附注,年报/半年报/季报
无形资产摊销,Amortization of Intangible Assets,Cash Flow Statement - Supplemental Notes,现金流量表 — 附注,年报/半年报/季报
长期待摊费用摊销,Amortization of Long-term Prepaid Expenses,Cash Flow Statement - Supplemental Notes,现金流量表 — 附注,年报/半年报/季报
处置固定资产、无形资产和其他长期资产的损失,Loss on Disposal of Long-term Assets,Cash Flow Statement - Supplemental Notes,现金流量表 — 附注,年报/半年报/季报
固定资产报废损失,Loss on Retirement of Fixed Assets,Cash Flow Statement - Supplemental Notes,现金流量表 — 附注,年报/半年报/季报
公允价值变动损失,Fair Value Change Loss,Cash Flow Statement - Supplemental Notes,现金流量表 — 附注,年报/半年报/季报
财务费用,Finance Costs,Cash Flow Statement - Supplemental Notes,现金流量表 — 附注,年报/半年报/季报
投资损失,Investment Loss,Cash Flow Statement - Supplemental Notes,现金流量表 — 附注,年报/半年报/季报
递延所得税资产减少,Decrease in Deferred Tax Assets,Cash Flow Statement - Supplemental Notes,现金流量表 — 附注,年报/半年报/季报
递延所得税负债增加,Increase in Deferred Tax Liabilities,Cash Flow Statement - Supplemental Notes,现金流量表 — 附注,年报/半年报/季报
存货的减少,Decrease in Inventories,Cash Flow Statement - Supplemental Notes,现金流量表 — 附注,年报/半年报/季报
经营性应收项目的减少,Decrease in Operating Receivables,Cash Flow Statement - Supplemental Notes,现金流量表 — 附注,年报/半年报/季报
经营性应付项目的增加,Increase in Operating Payables,Cash Flow Statement - Supplemental Notes,现金流量表 — 附注,年报/半年报/季报
其他,Other Adjustments,Cash Flow Statement - Supplemental Notes,现金流量表 — 附注,年报/半年报/季报
一年内到期的可转换公司债券,Convertible Bonds Due Within One Year,Cash Flow Statement - Supplemental Notes,现金流量表 — 附注,年报/半年报/季报
融资租入固定资产,Finance Lease Fixed Assets,Cash Flow Statement - Supplemental Notes,现金流量表 — 附注,年报/半年报/季报
人均营业收入,Revenue per Employee,Computed,计算指标,年报/半年报/季报
人均净利润,Net Profit per Employee,Computed,计算指标,年报/半年报/季报
人均薪酬,Salary per Employee,Human Resources - Employee Information,人力资源管理 — 员工情况,年报/半年报/季报
贷存比,Loan-to-Deposit Ratio,Notes to Financial Statements,财务报表附注,年报/半年报/季报
归属于母公司普通股股东的每股收益,EPS Attributable to Ordinary Shareholders,Notes to Financial Statements,财务报表附注,年报/半年报/季报
归属于母公司普通股股东的每股扣非收益,Recurring EPS Attributable to Ordinary Shareholders,Notes to Financial Statements,财务报表附注,年报/半年报/季报
每股资本公积,Capital Reserve per Share,Notes to Financial Statements,财务报表附注,年报/半年报/季报
每股未分配利润,Retained Earnings per Share,Notes to Financial Statements,财务报表附注,年报/半年报/季报
每股分红,Dividend per Share,Notes to Financial Statements,财务报表附注,年报
每股经营活动产生的现金流量,Operating Cash Flow per Share,Notes to Financial Statements,财务报表附注,年报/半年报/季报
每股经营活动产生的现金流量净额,Net Operating Cash Flow per Share,Notes to Financial Statements,财务报表附注,年报/半年报/季报
归属于少数股股东的ROE,ROE Attributable to Minority Interest,Notes to Financial Statements,财务报表附注,年报/半年报/季报
归属于母公司普通股股东的ROE,ROE Attributable to Ordinary Shareholders,Notes to Financial Statements,财务报表附注,年报/半年报/季报
归属于母公司普通股股东的扣非ROE,Recurring ROE Attributable to Ordinary Shareholders,Notes to Financial Statements,财务报表附注,年报/半年报/季报
风险加权资产收益率（RORWA）,RORWA,Notes to Financial Statements,财务报表附注,年报/半年报
净资产收益率（ROE）,ROE,Notes to Financial Statements,财务报表附注,年报/半年报/季报
杠杆倍数,Leverage Ratio,Notes to Financial Statements,财务报表附注,年报/半年报/季报
总资产收益率（ROA）,ROA,Notes to Financial Statements,财务报表附注,年报/半年报/季报
总资产周转率,Total Asset Turnover,Notes to Financial Statements,财务报表附注,年报/半年报/季报
固定资产周转率,Fixed Asset Turnover,Notes to Financial Statements,财务报表附注,年报/半年报/季报
固定资产周转天数,Fixed Asset Turnover Days,Notes to Financial Statements,财务报表附注,年报/半年报/季报
股东权益周转天数,Equity Turnover Days,Notes to Financial Statements,财务报表附注,年报/半年报/季报
总资产周转天数,Total Asset Turnover Days,Notes to Financial Statements,财务报表附注,年报/半年报/季报
自由现金流量,Free Cash Flow,Notes to Financial Statements,财务报表附注,年报/半年报/季报
经投融产生的现金流量净额,Net Cash from Operating/Investing/Financing Activities,Cash Flow Statement,现金流量表,年报/半年报/季报
